ID,Name,Age,Salary,Department,Gender,JoinDate,Country,Rating,Experience,Feedback
1,Linda Smith,28.0,63886.9,Sales,Male,22/03/2024,UK,4.0,12.6,Satisfied
2,Sarah Jones,31.0,66040.56,Finance,Male,02/07/2016,UK,5.0,7.7,Unsatisfied
3,Sarah Martinez,28.0,44421.32,Finance,Female,07/09/2019,France,2.0,15.6,Neutral
4,Sarah Williams,32.0,40259.33,Marketing,Female,06/12/2015,France,2.0,8.8,Unsatisfied
5,Elizabeth Martinez,29.0,42762.7,HR,Male,13/12/2023,Canada,3.0,12.9,Satisfied
6,David Miller,27.0,$48647.57,Engineering,Male,21/01/2016,USA,4.0,10.1,Satisfied
7,John Johnson,46.0,48161.27,Finance,Male,2018-10-03,USA,4.0,7.0,Satisfied
8,Patricia Garcia,35.0,65532.84,Marketing,Male,30/05/2020,UK,5.0,2.4,Satisfied
9,Charles Johnson,45.0,59070.55,Marketing,Female,22/12/2022,Canada,3.0,3.4,Neutral
10,Michael Brown,56.0,44910.1,Finance,Female,2018-09-30,USA,2.0,16.6,Unsatisfied
11,Susan Brown,42.0,39887.69,Marketing,Male,24/03/2018,Germany,3.0,14.5,Unsatisfied
12,Robert Garcia,58.0,30762.77,Sales,Female,09/06/2016,France,1.0,9.4,Unsatisfied
13,Thomas Garcia,18.0,57013.16,HR,Male,20/11/2018,France,2.0,,Satisfied
14,William Miller,34.0,57845.66,HR,Female,10/12/2016,UK,3.0,2.6,Neutral
15,Robert Jones,18.0,58798.28,Sales,Female,2018-05-27,USA,3.0,6.5,Neutral
16,Karen Garcia,21.0,64382.01,HR,Female,2018-02-02,Germany,2.0,11.4,Neutral
17,Richard Davis,51.0,68982.96,Marketing,Male,2023-09-01,Canada,,10.1,Neutral
18,John Brown,20.0,57845.61,HR,Female,01/05/2022,Canada,3.0,19.2,Neutral
19,Richard Brown,54.0,52755.16,Sales,Female,31/12/2016,UK,5.0,8.9,Neutral
20,Mary Johnson,64.0,48806.53,Sales,Female,2024-01-06,Germany,4.0,7.4,Satisfied
21,Elizabeth Johnson,57.0,45260.91,HR,Male,24/03/2020,UK,4.0,8.1,Unsatisfied
22,Karen Garcia,55.0,35448.98,Marketing,Male,2022-02-26,USA,1.0,17.3,Unsatisfied
23,Jessica Miller,42.0,53743.29,hr,Female,2015-11-25,USA,2.0,12.3,Unsatisfied
24,Richard Miller,60.0,41909.95,Engineering,Male,08/05/2024,Canada,1.0,3.8,Unsatisfied
25,Patricia Johnson,53.0,$37165.21,Marketing,Male,25/07/2019,UK,3.0,9.4,Satisfied
26,Sarah Brown,,41423.92,Engineering,Female,2024-08-11,Germany,1.0,7.8,Satisfied
27,Karen Garcia,36.0,60410.54,Sales,Female,2020-09-13,USA,3.0,14.7,Unsatisfied
28,Elizabeth Johnson,29.0,51036.03,Finance,Female,03/01/2022,Germany,2.0,6.7,Satisfied
29,Thomas Brown,64.0,42141.29,Engineering,Female,2019-06-11,USA,2.0,11.4,Satisfied
30,Jessica Davis,61.0,52499.48,Engineering,Male,12/04/2023,USA,3.0,12.2,Satisfied
31,Michael Smith,62.0,54066.98,Marketing,Male,2021-12-11,UK,3.0,11.5,Neutral
32,David Martinez,60.0,44846.6,Engineering,Male,2018-01-04,Germany,1.0,7.1,Neutral
33,David Rodriguez,23.0,68238.19,Finance,Male,2018-02-19,UK,2.0,8.7,Neutral
34,Elizabeth Martinez,51.0,47834.73,HR,Male,2017-05-23,Germany,2.0,11.0,Neutral
35,Linda Davis,40.0,45031.59,HR,Male,10/11/2023,USA,4.0,5.1,Satisfied
36,Joseph Brown,23.0,$79256.32,Engineering,Female,22/12/2020,France,1.0,8.8,Unsatisfied
37,Patricia Garcia,64.0,41407.72,Sales,Male,2019-05-31,Canada,2.0,,Neutral
38,David Brown,29.0,56318.72,Sales,Male,2019-02-17,USA,2.0,7.2,Unsatisfied
39,Sarah Williams,22.0,24480.24,Marketing,Female,03/04/2021,USA,1.0,15.4,Unsatisfied
40,Barbara Johnson,45.0,72739.46,Marketing,Female,2023-01-25,France,,3.8,Unsatisfied
41,Elizabeth Johnson,18.0,53659.88,Sales,Male,08/03/2023,Canada,2.0,1.0,Satisfied
42,Mary Davis,63.0,49382.56,Engineering,Female,06/12/2024,Canada,3.0,3.5,Neutral
43,John Brown,53.0,54464.14,Engineering,Female,19/03/2017,Canada,2.0,6.1,Neutral
44,Barbara Martinez,37.0,55274.87,Marketing,Female,2021-11-17,France,4.0,12.2,Neutral
45,Karen Rodriguez,50.0,47465.27,Sales,Male,11/04/2024,France,2.0,7.4,Neutral
46,Susan Smith,39.0,41236.21,Engineering,Female,22/03/2020,Canada,5.0,4.5,Unsatisfied
47,Mary Davis,55.0,61337.94,Engineering,Female,11/08/2022,Canada,4.0,10.5,Unsatisfied
48,Jennifer Brown,57.0,59612.19,Marketing,Male,2018-05-23,Canada,3.0,9.6,Neutral
49,Thomas Rodriguez,53.0,47130.76,Engineering,Male,2023-05-30,France,3.0,10.2,Unsatisfied
50,Sarah Johnson,62.0,38969.56,Finance,Female,14/03/2022,UK,2.0,8.9,Unsatisfied
51,Linda Davis,52.0,57632.91,Engineering,Female,2021-01-23,France,,-0.1,Satisfied
52,John Miller,34.0,52322.72,Engineering,Male,26/09/2016,Canada,2.0,12.8,Satisfied
53,Patricia Smith,22.0,38564.83,Sales,Male,2017-02-27,Germany,,9.4,Satisfied
54,William Davis,21.0,35563.19,Marketing,Female,2023-03-09,France,4.0,5.0,Satisfied
55,Patricia Smith,47.0,53064.46,Marketing,Female,04/10/2021,France,3.0,12.6,Neutral
56,Joseph Williams,48.0,49603.7,HR,Female,2024-03-15,UK,4.0,15.8,Unsatisfied
57,Patricia Williams,30.0,53648.02,HR,Female,2017-07-18,Germany,1.0,10.2,Neutral
58,Susan Martinez,21.0,51857.58,HR,Female,2019-12-07,Canada,1.0,12.0,Unsatisfied
59,Mary Garcia,45.0,34339.22,Marketing,Female,02/01/2018,USA,2.0,19.6,Unsatisfied
60,Thomas Johnson,,37945.21,Marketing,Female,2019-04-16,USA,4.0,6.8,Unsatisfied
61,Charles Jones,45.0,40447.92,Marketing,Female,17/11/2021,Canada,2.0,6.5,Satisfied
62,James Brown,47.0,62514.78,Sales,Female,2021-07-13,Germany,4.0,15.2,Neutral
63,Elizabeth Brown,60.0,61702.28,Engineering,Male,01/06/2023,UK,4.0,3.3,Unsatisfied
64,Patricia Rodriguez,37.0,52555.69,Marketing,Male,2018-03-22,USA,5.0,,Neutral
65,Robert Miller,20.0,52300.43,Finance,Female,28/11/2021,USA,3.0,9.3,Neutral
66,Elizabeth Martinez,40.0,71535.8,Engineering,Male,01/05/2017,Germany,3.0,11.2,Neutral
67,William Smith,34.0,39656.48,HR,Male,2017-03-18,Canada,4.0,17.3,Satisfied
68,Jennifer Martinez,58.0,49337.69,Sales,Male,2020-08-10,Canada,3.0,20.6,Neutral
69,Susan Jones,36.0,$43547.09,HR,Female,2018-03-23,Canada,4.0,11.1,Neutral
70,James Jones,31.0,62604.23,Finance,Male,2021-06-28,USA,5.0,7.1,Unsatisfied
71,Thomas Garcia,49.0,34475.76,hr,Male,25/03/2024,Germany,3.0,21.0,Neutral
72,Patricia Martinez,63.0,37784.81,Engineering,Female,2016-11-03,Germany,4.0,18.3,Unsatisfied
73,Karen Williams,60.0,35317.74,Engineering,Male,2016-02-18,USA,,14.0,Unsatisfied
74,Jennifer Jones,35.0,62483.43,Marketing,Male,06/09/2021,Germany,3.0,4.9,Neutral
75,John Garcia,64.0,45487.29,Marketing,Female,2015-07-25,UK,,10.7,Neutral
76,Susan Davis,22.0,54891.8,HR,Male,19/09/2016,UK,2.0,13.3,Satisfied
77,Charles Rodriguez,26.0,53797.26,Marketing,Female,04/02/2023,Germany,3.0,12.9,Satisfied
78,Charles Williams,19.0,51022.5,Marketing,Female,2022-07-07,Germany,3.0,13.8,Unsatisfied
79,Linda Williams,34.0,55531.51,Finance,Male,06/12/2016,USA,1.0,11.6,Unsatisfied
80,Barbara Brown,59.0,41665.67,Engineering,Female,2019-05-28,UK,3.0,2.3,Unsatisfied
81,Robert Garcia,27.0,38693.61,HR,Female,21/01/2023,UK,3.0,-0.1,Satisfied
82,Barbara Garcia,58.0,48011.83,Finance,Male,2019-10-26,USA,4.0,3.4,Neutral
83,Robert Williams,38.0,52472.38,HR,Female,30/11/2019,Canada,5.0,9.5,Neutral
84,Michael Jones,60.0,48207.75,Marketing,Male,12/01/2016,France,3.0,-4.0,Neutral
85,Barbara Rodriguez,44.0,46166.99,Sales,Male,2015-07-02,Germany,3.0,11.1,Neutral
86,Richard Rodriguez,57.0,65673.85,HR,Female,21/06/2015,USA,4.0,8.7,Neutral
87,Robert Martinez,63.0,46750.71,Sales,Female,2016-05-16,Canada,4.0,7.1,Unsatisfied
88,Michael Martinez,22.0,47707.58,Finance,Female,2016-07-07,UK,4.0,19.4,Satisfied
89,Robert Jones,39.0,$52254.0,Finance,Male,2021-07-26,UK,1.0,17.2,Unsatisfied
90,James Garcia,49.0,45827.31,Finance,M,2017-10-28,USA,3.0,15.7,Unsatisfied
91,Sarah Miller,26.0,39728.01,Sales,Female,26/04/2016,France,3.0,10.2,Unsatisfied
92,Patricia Jones,34.0,36188.71,HR,Female,2019-11-02,France,2.0,5.9,Unsatisfied
93,Mary Williams,46.0,48732.62,Sales,Male,2019-03-14,USA,4.0,12.7,Unsatisfied
94,Jessica Davis,28.0,54822.35,Sales,Female,2024-03-13,France,3.0,12.1,Unsatisfied
95,Charles Jones,60.0,71541.69,Sales,Male,2024-03-23,UK,4.0,18.9,Unsatisfied
96,John Johnson,56.0,63669.54,HR,Female,2019-09-28,Canada,2.0,5.8,Unsatisfied
97,David Smith,21.0,42326.9,Engineering,Male,2018-10-05,Germany,4.0,0.1,Satisfied
98,Robert Smith,59.0,49018.09,HR,Female,2021-04-29,UK,2.0,12.4,unsatisfied
99,Elizabeth Johnson,60.0,52884.77,Sales,M,18/10/2022,USA,2.0,14.4,Neutral
100,Jessica Davis,52.0,36714.14,Engineering,Female,16/11/2019,Canada,4.0,7.1,Satisfied
101,Sarah Garcia,27.0,37472.74,Engineering,Male,29/01/2020,USA,1.0,15.1,Unsatisfied
102,Michael Miller,57.0,46422.31,hr,Male,2021-02-02,UK,2.0,14.8,Satisfied
103,Mary Johnson,27.0,52575.79,Marketing,Male,2019-06-09,UK,4.0,14.1,Satisfied
104,James Garcia,37.0,47961.65,Marketing,Male,03/03/2021,Canada,1.0,-1.1,Satisfied
105,Joseph Garcia,21.0,49286.7,HR,Female,03/03/2018,Germany,3.0,-0.4,Neutral
106,Elizabeth Garcia,21.0,33766.94,HR,Male,2022-02-23,USA,3.0,13.2,Unsatisfied
107,Robert Jones,36.0,42852.23,Engineering,Female,2020-02-26,USA,,13.9,Unsatisfied
108,James Davis,57.0,59582.84,Marketing,Male,2015-12-06,USA,1.0,7.1,Neutral
109,Joseph Davis,46.0,56147.38,ENGINEERING,Male,2017-02-24,France,3.0,11.2,Neutral
110,William Johnson,44.0,48503.28,HR,Male,2019-07-02,None,1.0,19.0,Neutral
111,Linda Garcia,33.0,40432.03,Sales,Male,14/03/2018,Germany,3.0,14.9,Neutral
112,Sarah Garcia,45.0,57959.89,HR,Female,2017-03-22,USA,3.0,5.0,Unsatisfied
113,John Rodriguez,40.0,51360.21,Sales,Female,05/02/2023,Germany,3.0,15.9,Neutral
114,Sarah Garcia,22.0,56957.95,Engineering,Female,2019-08-07,UK,5.0,3.3,Neutral
115,John Rodriguez,24.0,77058.65,Finance,Female,09/08/2019,Germany,4.0,8.0,Neutral
116,Richard Miller,21.0,44311.58,HR,Female,12/08/2022,USA,,20.2,Satisfied
117,William Williams,50.0,40810.36,Finance,Female,26/11/2018,France,3.0,-1.6,Neutral
118,Karen Miller,59.0,43372.49,marketing,Female,14/08/2018,USA,4.0,13.5,Satisfied
119,Susan Brown,39.0,66194.75,Engineering,Female,26/01/2020,Germany,5.0,7.3,Neutral
120,William Smith,64.0,69580.06,HR,Female,15/09/2019,Germany,2.0,7.3,Unsatisfied
121,Elizabeth Williams,60.0,57331.25,Engineering,Female,27/03/2024,USA,3.0,13.4,Unsatisfied
122,Susan Jones,54.0,38848.16,Marketing,Female,21/08/2018,UK,2.0,1.5,Neutral
123,Mary Rodriguez,22.0,37014.37,Finance,Female,2016-04-15,Canada,4.0,8.0,Satisfied
124,James Jones,51.0,50637.96,sales,Female,2015-04-30,Germany,3.0,6.3,Satisfied
125,Charles Miller,,49867.81,Marketing,Male,2016-04-20,Germany,5.0,20.6,Neutral
126,Richard Johnson,27.0,46205.6,finance,Male,19/07/2024,Canada,3.0,10.1,Satisfied
127,James Garcia,23.0,46915.27,Engineering,Male,09/04/2023,Canada,2.0,13.7,Satisfied
128,Patricia Smith,35.0,51319.99,Finance,Male,2023-10-23,Canada,2.0,16.6,Satisfied
129,Richard Brown,44.0,50094.93,Marketing,Male,11/06/2023,USA,4.0,10.3,Neutral
130,Susan Johnson,49.0,34881.15,Marketing,Female,23/08/2020,UK,3.0,4.9,Neutral
131,Barbara Miller,27.0,61943.56,Marketing,Male,2021-07-01,Germany,4.0,15.7,Neutral
132,Michael Garcia,55.0,66786.69,Engineering,Male,06/06/2018,UK,1.0,10.1,Neutral
133,Patricia Williams,37.0,43748.68,Marketing,Female,2019-07-12,None,4.0,6.6,Satisfied
134,James Smith,46.0,51594.67,Marketing,Male,2016-10-15,France,3.0,15.9,Unsatisfied
135,Karen Smith,64.0,34820.49,Engineering,Male,07/12/2024,Germany,2.0,12.3,Satisfied
136,Richard Rodriguez,60.0,49284.84,Engineering,Female,2019-10-13,USA,2.0,11.3,Unsatisfied
137,Patricia Jones,58.0,25237.22,Sales,Male,20/02/2025,UK,3.0,15.0,Satisfied
138,Jessica Johnson,37.0,69007.56,HR,Female,20/04/2015,Germany,1.0,19.8,Unsatisfied
139,Mary Martinez,62.0,64694.6,Finance,Male,2017-04-18,UK,2.0,11.4,Satisfied
140,James Miller,63.0,42921.42,HR,Male,23/05/2015,USA,1.0,10.2,Unsatisfied
141,Robert Williams,64.0,46960.88,Engineering,Male,2021-11-04,UK,1.0,8.5,Satisfied
142,Patricia Williams,18.0,64494.27,Sales,Female,01/05/2019,Germany,2.0,9.4,Satisfied
143,Susan Johnson,56.0,64550.31,Engineering,Male,10/04/2022,France,2.0,21.0,Neutral
144,Karen Smith,19.0,53436.97,HR,Female,12/05/2016,Germany,2.0,13.4,Neutral
145,Thomas Smith,18.0,38448.49,Engineering,Male,2019-09-14,USA,4.0,13.1,Unsatisfied
146,John Garcia,46.0,45864.7,Engineering,F,2019-03-16,France,4.0,13.7,Neutral
147,William Martinez,23.0,33363.62,Engineering,Male,30/06/2022,USA,4.0,16.6,Neutral
148,John Martinez,46.0,45522.53,HR,F,2020-05-22,France,3.0,9.4,Satisfied
149,Joseph Rodriguez,63.0,48555.8,Marketing,Female,2019-09-28,UK,3.0,17.6,Satisfied
150,Thomas Williams,34.0,48263.29,HR,Female,2018-07-01,Canada,1.0,3.6,Unsatisfied
151,Jessica Garcia,56.0,62000.62,Marketing,Male,2020-09-06,UK,3.0,15.0,Satisfied
152,William Miller,45.0,41211.27,HR,Female,31/07/2019,USA,3.0,15.7,Satisfied
153,Robert Williams,24.0,50456.41,HR,Male,2016-05-01,None,3.0,10.9,Satisfied
154,Sarah Garcia,40.0,39426.01,Engineering,Female,11/12/2018,UK,,3.0,Satisfied
155,Elizabeth Rodriguez,31.0,41103.92,Sales,Female,2022-07-15,USA,4.0,8.9,Neutral
156,Barbara Garcia,47.0,61859.43,Marketing,Female,2020-03-28,UK,2.0,3.2,Unsatisfied
157,William Davis,25.0,64919.08,Finance,Male,12/08/2023,Canada,1.0,14.0,Satisfied
158,Jennifer Davis,54.0,64564.23,FINANCE,F,2016-10-21,USA,3.0,8.6,Unsatisfied
159,Susan Martinez,57.0,65641.08,Finance,Male,2018-10-04,USA,4.0,1.4,Unsatisfied
160,Charles Jones,30.0,62551.93,Engineering,Male,2021-09-19,Canada,4.0,8.0,unsatisfied
161,Sarah Davis,20.0,48613.46,Sales,Female,03/03/2024,Germany,4.0,15.2,Neutral
162,Sarah Jones,33.0,47604.56,Finance,Female,18/07/2015,USA,3.0,11.6,Unsatisfied
163,William Davis,57.0,57517.05,Sales,Female,23/04/2019,UK,2.0,16.5,Neutral
164,William Brown,28.0,47930.96,HR,Female,2018-09-25,France,3.0,5.7,Unsatisfied
165,Robert Johnson,34.0,40151.76,Engineering,Female,23/02/2021,USA,3.0,14.3,Neutral
166,Susan Jones,25.0,40822.53,HR,Female,2015-12-22,USA,3.0,9.1,Neutral
167,Jennifer Smith,36.0,35108.8,Engineering,Male,17/11/2016,UK,2.0,15.3,Satisfied
168,Patricia Jones,22.0,57978.62,Marketing,Male,25/04/2017,Canada,4.0,8.3,Satisfied
169,Karen Miller,35.0,44298.42,Finance,Male,17/02/2020,France,2.0,13.2,Neutral
170,Karen Davis,41.0,50037.96,Finance,Female,06/03/2021,Canada,5.0,10.6,Neutral
171,Mary Williams,23.0,65832.04,Engineering,Female,2016-04-16,USA,3.0,10.9,Satisfied
172,Susan Miller,34.0,31046.34,Engineering,Female,20/04/2018,France,1.0,10.7,Unsatisfied
173,Robert Jones,32.0,43369.93,Engineering,Female,2023-09-05,Germany,3.0,-2.0,Unsatisfied
174,Richard Miller,39.0,49299.22,sales,Male,2021-07-16,UK,3.0,11.6,Unsatisfied
175,Richard Rodriguez,42.0,54964.24,Marketing,Male,2017-04-17,Canada,2.0,8.5,Unsatisfied
176,Barbara Martinez,40.0,50803.09,Marketing,Female,2018-11-27,Germany,4.0,8.9,Neutral
177,Charles Martinez,50.0,70582.69,Engineering,Male,2021-02-17,France,5.0,4.2,Neutral
178,Karen Miller,19.0,72332.51,HR,Male,11/01/2021,Germany,2.0,10.2,Unsatisfied
179,Linda Williams,65.0,41681.57,Marketing,Male,2022-12-15,Germany,4.0,9.8,Satisfied
180,Charles Miller,61.0,51581.4,Sales,Male,01/12/2015,USA,1.0,9.8,Satisfied
181,William Miller,42.0,51839.33,Sales,Male,16/12/2020,None,2.0,3.9,Unsatisfied
182,Susan Johnson,56.0,51891.57,Sales,Male,2020-02-13,USA,3.0,12.9,Unsatisfied
183,Jennifer Rodriguez,32.0,38986.58,Engineering,Male,2018-05-30,USA,3.0,0.2,neutral
184,David Miller,33.0,58590.37,HR,Female,2022-08-05,USA,4.0,1.0,Unsatisfied
185,Patricia Davis,50.0,41749.33,Finance,Female,2021-06-12,USA,1.0,6.2,Unsatisfied
186,Linda Davis,58.0,38977.42,Marketing,Male,12/05/2015,USA,1.0,9.8,Unsatisfied
187,Robert Smith,38.0,57601.79,Sales,Male,03/02/2024,Canada,2.0,6.2,Unsatisfied
188,Elizabeth Brown,45.0,55256.23,Engineering,Female,24/03/2020,Germany,2.0,18.3,Neutral
189,Joseph Smith,29.0,40371.31,HR,Male,14/09/2015,Germany,4.0,5.9,Neutral
190,Michael Davis,19.0,46639.11,Sales,Male,14/12/2015,Canada,,9.2,Satisfied
191,Karen Miller,26.0,48810.7,HR,Male,22/05/2015,Germany,2.0,8.5,Satisfied
192,John Smith,42.0,$45470.16,Engineering,Female,2022-07-09,France,4.0,8.8,Neutral
193,Patricia Martinez,21.0,45553.65,HR,Female,30/08/2016,Canada,4.0,5.3,Neutral
194,Thomas Johnson,53.0,41181.26,Engineering,Male,30/12/2017,Canada,4.0,-2.1,Unsatisfied
195,Joseph Williams,63.0,49262.47,HR,Male,2019-07-21,UK,4.0,13.0,Unsatisfied
196,William Miller,58.0,27094.89,HR,Male,2023-06-19,Germany,4.0,8.4,Unsatisfied
197,Robert Miller,41.0,26960.63,HR,Male,2022-08-07,USA,4.0,0.3,Satisfied
198,David Jones,19.0,62846.51,HR,Female,21/09/2016,Canada,3.0,10.4,Unsatisfied
199,Thomas Williams,64.0,48768.12,Marketing,Female,2023-07-10,UK,5.0,7.7,Neutral
200,Karen Smith,19.0,49590.42,Sales,Male,2024-08-04,UK,1.0,9.6,Unsatisfied
201,James Miller,39.0,39863.11,Sales,Female,2024-06-14,USA,2.0,9.6,Neutral
202,Thomas Johnson,21.0,57681.07,Marketing,Female,01/06/2019,France,5.0,10.7,Neutral
203,Elizabeth Garcia,65.0,34189.17,Sales,Female,2024-10-24,France,4.0,11.4,Satisfied
204,James Davis,41.0,53436.22,Finance,Male,01/08/2022,Canada,3.0,16.6,Neutral
205,James Rodriguez,60.0,53701.45,Finance,Male,26/11/2022,USA,2.0,13.9,Neutral
206,Sarah Brown,28.0,38959.85,ENGINEERING,Male,2015-06-23,France,4.0,0.3,Satisfied
207,Karen Garcia,,54503.7,Finance,Female,24/04/2020,UK,5.0,15.2,Satisfied
208,Robert Miller,28.0,43078.04,Finance,Male,2016-06-05,Canada,3.0,9.0,Neutral
