CustomerID,CustomerName,Gender,Age,Country,Email,PurchaseAmount,PurchaseDate,ProductCategory,PaymentMethod,ReviewScore,IsMember
1,Evan Brown,Male,63.0,USA,user1@example.com,114.24,2025-02-10,Home,PayPal,,True
2,Charlie Miller,Male,47.0,France,user2@example.com,473.64,2024-12-13,Toys,Credit Card,1.0,True
3,Alice Davis,Male,55.0,France,user3@example.com,392.84,2024-09-21,Groceries,Bank Transfer,1.0,True
4,Charlie Jones,Female,55.0,USA,user4@example.com,65.6,2025-03-09,Toys,PayPal,4.0,False
5,Evan Johnson,Female,62.0,France,user5@example.com,466.16,2024-05-08,Toys,Credit Card,1.0,True
6,Alice Miller,Male,,France,user6@example.com,,2024-12-11,Toys,PayPal,,False
7,Alice Williams,Female,,Australia,user7@example.com,498.01,2024-07-23,Electronics,PayPal,4.0,False
8,Fiona Jones,Female,44.0,France,user8@example.com,37.38,2024-05-29,Groceries,Credit Card,4.0,True
9,Bob Davis,Female,44.0,UK,user9@example.com,371.15,2024-06-28,Groceries,Bank Transfer,5.0,True
10,Fiona Williams,Female,51.0,Germany,user10@example.com,277.5,2024-08-19,Beauty,Bank Transfer,1.0,True
11,Diana Jones,Female,38.0,Canada,user11@example.com,355.86,2025-01-18,Home,Debit Card,1.0,False
12,Jane Davis,Male,47.0,UK,user12@example.com,484.64,2024-08-24,Toys,Credit Card,5.0,True
13,,Female,50.0,France,user13@example.com,347.13,2024-10-09,Clothing,Debit Card,,False
14,Diana Johnson,Male,45.0,Australia,user14@example.com,420.11,2025-03-04,Home,Debit Card,3.0,False
15,Fiona Brown,Male,,USA,user15@example.com,434.77,2025-01-06,Home,Debit Card,3.0,True
16,Charlie Smith,Female,50.0,France,,420.86,2025-03-14,Groceries,Bank Transfer,5.0,True
17,Bob Johnson,Male,22.0,Australia,user17@example.com,218.78,2024-06-16,Home,Credit Card,1.0,False
18,,Male,65.0,Germany,user18@example.com,119.06,2024-05-12,Toys,Debit Card,5.0,False
19,Bob Smith,Male,36.0,France,user19@example.com,204.36,2024-12-26,Toys,Credit Card,5.0,False
20,John Williams,Female,,USA,user20@example.com,447.03,2024-05-31,Electronics,Credit Card,3.0,True
21,,Female,52.0,Australia,user21@example.com,81.84,2024-10-30,Toys,Bank Transfer,2.0,False
22,Jane Davis,Male,66.0,Australia,user22@example.com,261.53,2024-08-12,Toys,Debit Card,1.0,True
23,Bob Brown,Female,34.0,Australia,user23@example.com,124.28,2024-11-29,Groceries,Debit Card,3.0,False
24,Fiona Miller,Female,61.0,Germany,user24@example.com,294.84,2024-05-21,Toys,Credit Card,2.0,False
25,Diana Garcia,Female,45.0,France,user25@example.com,432.94,2024-12-04,Electronics,PayPal,2.0,True
26,Evan Garcia,Female,47.0,Germany,user26@example.com,441.38,2024-07-28,Clothing,Bank Transfer,4.0,False
27,Alice Brown,Male,46.0,Canada,user27@example.com,125.98,2024-12-13,Groceries,Bank Transfer,1.0,True
28,Evan Brown,Male,63.0,Canada,user28@example.com,454.77,2024-09-06,Clothing,Bank Transfer,2.0,True
29,Fiona Smith,Female,70.0,France,user29@example.com,300.03,2024-10-08,Groceries,Bank Transfer,3.0,False
30,,Female,23.0,Germany,user30@example.com,,2025-03-10,Beauty,Debit Card,4.0,True
31,Alice Miller,Male,52.0,USA,user31@example.com,357.01,2024-07-12,Home,Debit Card,1.0,True
32,Charlie Smith,Male,58.0,Australia,user32@example.com,246.02,2024-04-16,Beauty,PayPal,5.0,False
33,Evan Johnson,Female,54.0,Australia,user33@example.com,195.21,2025-04-03,Toys,Bank Transfer,3.0,True
34,Bob Smith,Male,41.0,France,user34@example.com,355.49,2024-10-09,Clothing,Bank Transfer,2.0,True
35,Bob Garcia,Female,,Canada,user35@example.com,131.87,2025-01-14,Toys,Credit Card,2.0,True
36,Jane Johnson,Female,66.0,Canada,user36@example.com,171.82,2024-10-20,Home,Debit Card,3.0,False
37,John Johnson,Male,63.0,Australia,user37@example.com,222.88,2025-03-26,Groceries,Bank Transfer,2.0,True
38,,Male,70.0,France,user38@example.com,134.3,2024-10-20,Home,PayPal,4.0,False
39,Bob Brown,Female,48.0,Germany,user39@example.com,208.55,2024-09-10,Electronics,PayPal,1.0,False
40,Evan Brown,Female,52.0,Canada,user40@example.com,290.02,2024-07-10,Home,Debit Card,4.0,True
41,Evan Brown,Male,50.0,Germany,user41@example.com,373.08,2024-09-15,Electronics,PayPal,,True
42,Charlie Davis,Female,69.0,Canada,user42@example.com,385.93,2024-06-08,Home,PayPal,5.0,True
43,Evan Williams,Male,38.0,Canada,user43@example.com,413.17,2024-08-08,Electronics,Debit Card,1.0,False
44,Diana Smith,Female,49.0,UK,user44@example.com,,2024-05-29,Clothing,Bank Transfer,1.0,True
